ServiceName,Category,Description,MapTo,DisplayName,FeatureName
Active Directory,Security,Synchronize on-premises directories and enable single sign-on,,,
Active Directory B2C,Security,Synchronize on-premises directories and enable single sign-on,,,
Active Directory Domain Services,Security,Synchronize on-premises directories and enable single sign-on,,,
Advanced Threat Protection,Security,,,,
Advisor,Management and Governance,Your personalized Azure best practices recommendation engine,,,
Alert Management,,,,,
All Modules,,,,,
Analysis Services,Analytics,Enterprise-grade analytics engine as a service,,,
Annotations,,,,,
Anomaly Detector,AI + Machine Learning,Easily add anomaly detection capabilities to your apps,,,
Apache Spark,,,,,
Apache Spark Connector,,,,,
API Apps,Compute,Easily build and consume Cloud APIs,,,
API for FHIR,Databases,Easily create and deploy a FHIR service for health data solutions and interoperability,,,
API Management,Integration,"Publish APIs to developers, partners, and employees securely and at scale",,,
App Configuration,Developer Tools,"Fast, scalable parameter storage for app configuration",,,
App Service,Compute,Quickly create powerful cloud apps for web and mobile,,,
Application Gateway,Networking,"Build secure, scalable, and highly available web front ends in Azure",,,
Application Insights,Management and Governance,"Full observability into your applications, infrastructure, and network",,,
Arc Enabled Servers,Hybrid + Multicloud,Extend Azure management and services anywhere,,,
Archive Storage,Storage,Industry leading price point for storing rarely accessed data,,,
Artifacts,DevOps,"Create, host, and share packages with your team",,,
Attestation,Security,A unified solution for remotely verifying the trustworthiness of a platform and integrity of the binaries running inside it,,,
Authentication,,,,,
Authorization,,,,,
Automanage,Management and Governance,Simplify and optimize IT management with automated operations,,,
Automation,Management and Governance,Simplify cloud management with process automation,,,
AutoRest,,,,,
Autosuggest,,,,,
Avere vFXT for Azure,Storage,"Run high-performance, file-based workloads in the cloud",,,
Azure,,,,,
Backup,Storage,Simplify data protection and protect against ransomware,,,
Bastion,Networking,Private and fully managed RDP and SSH access to your virtual machines,,,
Batch,Compute,Cloud-scale job scheduling and compute management,,,
Batch AI,Compute,Cloud-scale job scheduling and compute management,,,
Bill of Materials,,,,,
Blockchain Service,Blockchain,"Build, govern, and expand consortium blockchain networks",,,
Blockchain Tokens,Blockchain,,,,
Blockchain Workbench,Blockchain,Easily prototype blockchain apps in the cloud,,,
Blueprints,Management and Governance,"Enabling quick, repeatable creation of governed environments",,,
Boards,DevOps,"Plan, track, and discuss work across your teams",,,
Bot Service,AI + Machine Learning,"Intelligent, serverless bot services that scale on demand",,,
Cloud Services,Compute,"Create highly-available, infinitely-scalable cloud applications and APIs",,,
Cloud Shell,Management and Governance,Streamline Azure administration with a browser-based shell,,,
Cognitive Services,AI + Machine Learning,Add smart API capabilities to enable contextual interactions,,,
Commerce,,,,,
Common Data Service,,,,,
Communication,Mobile,Build rich communication experiences with the same secure platform used by Microsoft Teams,,,
Compute,,,,,
Computer Vision,AI + Machine Learning,Distill actionable information from images,,,
Confluent,,,,,
Connectors,,,,,
Consumption,,,,,
Container Instances,Compute,Easily run containers on Azure without managing servers,,,
Container Registry,Containers,Store and manage container images across all types of Azure deployments,,,
Container Service,,,Container Instances,,
Content Delivery Network,Media,"Ensure secure, reliable content delivery with broad global reach",,,
Content Moderator,AI + Machine Learning,"Automated image, text, and video moderation",,,
Content Protection,Media,"Securely deliver content using AES, PlayReady, Widevine, and Fairplay",,,
Core,,,,,
Cosmos DB,Databases,Fast NoSQL database with open APIs for any scale,,,
Cost Management,Management and Governance,Manage your cloud spending with confidence,,,
Cost Management + Billing,,,Cost Management,,
Custom Image Search,,,Search,Search,
Custom Search,,,Search,Search,
Custom Vision,AI + Machine Learning,Easily customize your own state-of-the-art computer vision models for your unique use case,,,
Customer Insights,,,,,
Customer Lockbox for Microsoft Azure,,,,,
CycleCloud,Compute,"Create, manage, operate, and optimize HPC and big compute clusters of any scale",,,
Data Box,Storage,Appliances and solutions for offline data transfer to Azure​,,,
Data Catalog,Analytics,Get more value from your enterprise data assets,,,
Data Explorer,Analytics,Fast and highly scalable data exploration service,,,
Data Factory,Analytics,"Hybrid data integration at enterprise scale, made easy",,,
Data Lake Analytics,Analytics,Distributed analytics service that makes big data easy,,,
Data Lake Storage (Gen 1),Analytics,"Massively scalable, secure data lake functionality built on Azure Blob Storage",,Data Lake Storage ,(Gen 1)
Data Lake Storage (Gen 2),,,Data Lake Storage (Gen 1),Data Lake Storage ,(Gen 2)
Data Science Virtual Machines,AI + Machine Learning,Rich pre-configured environment for AI development,,,
Data Share,Analytics,A simple and safe service for sharing big data with external organizations,,,
Database for MariaDB,Databases,Managed MariaDB database service for app developers,,,
Database for MySQL,Databases,"Fully managed, scalable MySQL Database",,,
Database for PostgreSQL,Databases,"Fully managed, intelligent, and scalable PostgreSQL",,,
Database Migration Service,Databases,Simplify on-premises database migration to the cloud,,,
Databricks,AI + Machine Learning,"Fast, easy, and collaborative Apache Spark-based analytics platform",,,
Datadog,,,,,
DDoS Protection Standard,Networking,Protect your applications from Distributed Denial of Service (DDoS) attacks,,DDoS Protection,Standard
Dedicated Host,Compute,A dedicated physical server to host your Azure VMs for Windows and Linux,,,
Dedicated HSM,Security,Manage hardware security modules that you use in the cloud,,,
Deployment Manager,,,,,
Dev Spaces,,,,,
Device Provisioning Services,,,,,
Devices,,,,,
DevOps,Developer Tools,"Services for teams to share code, track work, and ship software",,,
DevTest Labs,Developer Tools,"Build, manage, and continuously deliver cloud applications—using any platform or language",,,
Digital Twins,Internet of Things,Build next-generation IoT solutions that model entire environments in real time,,,
Disk Storage,Storage,"High-performance, highly durable block storage for Azure Virtual Machines",,,
DNS,Networking,Host your DNS domain in Azure,,,
Encoding,Media,Studio grade encoding at cloud scale,,,
Entity Search,,,Search,,
Event Grid,Internet of Things,Get reliable event delivery at massive scale,,,
Event Hubs,Analytics,Receive telemetry from millions of devices,,,
ExpressRoute,Networking,Dedicated private network fiber connections to Azure,,,
Extensions on qpid-proton-j library,,,,,
Face,AI + Machine Learning,"Detect, identify, analyze, organize, and tag faces in photos",,,
Features,,,,,
Firewall,Networking,"Native firewalling capabilities with built-in high availability, unrestricted cloud scalability, and zero maintenance",,,
Firewall Manager,Networking,"Central network security policy and route management for globally distributed, software-defined perimeters",,,
Form Recognizer,AI + Machine Learning,The AI-powered document extraction service that understands your forms,,,
Frontdoor,Networking,"Secure, fast, and reliable cloud CDN with intelligent threat protection",,,
Functions,Compute,Process events with serverless code,,,
FXT Edge Filer,Storage,Hybrid storage optimization solution for HPC environments,,,
Guest Configuration,,,,,
HDInsight,Analytics,"Provision cloud Hadoop, Spark, R Server, HBase, and Storm clusters",,,
Health Bot,AI + Machine Learning,A managed service purpose-built for development of virtual healthcare assistants,,,
Help + support,,,,,
HPC Cache,Storage,File caching for high-performance computing (HPC),,,
Hybrid Compute,,,,,
Identity,Identity,"Manage user identities and access to protect against advanced threats across devices, data, apps, and infrastructure",,,
Image Search,,,Search,,
Information Protection,Identity,"Better protect your sensitive information—anytime, anywhere",,,
Ink Recognizer,,,,,
